order,url,name,description,star
1649851730-1976,https://github.com/search?l=Java&o=desc&p=80&q=in%3Adescription+microservice&s=stars&type=Repositories,ashkrit/sparkmicroservices,Microservices for Spark application,5
1649851762-2080,https://github.com/search?l=Java&o=desc&p=69&q=in%3Adescription+microservice&s=stars&type=Repositories,agritsik/javaee7-microservice,"Sample microservices-based app using Java EE 7, JPA, RESTful, Arquillian, Docker",7
1649851950-2730,https://github.com/search?l=Java&o=desc&p=4&q=in%3Adescription+microservice&s=stars&type=Repositories,caplogic/Mappedbus,Mappedbus is a low latency message bus for Java microservices utilizing shared memory. http://mappedbus.io,649
1649851684-1817,https://github.com/search?l=Java&o=desc&p=96&q=in%3Adescription+microservice&s=stars&type=Repositories,Emily-Jiang/qcon-12factor-app-a,QCon 12 FactorApp microservice a,4
1649851792-2185,https://github.com/search?l=Java&o=desc&p=59&q=in%3Adescription+microservice&s=stars&type=Repositories,rsdomingues/cloud_blueprint,A FinServ microservice DevOps blueprint to kickstart a successful software development workflow on Google Cloud Plata…,10
1649851707-1891,https://github.com/search?l=Java&o=desc&p=88&q=in%3Adescription+microservice&s=stars&type=Repositories,heroe-geek/spring-boot-tutorial,"Development of a small project with MVC architecture, oriented to REST microservices; applying the technologies: Spr…",5
1649851795-2195,https://github.com/search?l=Java&o=desc&p=58&q=in%3Adescription+microservice&s=stars&type=Repositories,igorzg/payara-micro-docker-starter-kit,Java ee microservices starter-kit with payara-micro and docker,10
1649851891-2527,https://github.com/search?l=Java&o=desc&p=25&q=in%3Adescription+microservice&s=stars&type=Repositories,YashchenkoN/social-network,Microservices project,35
1649851848-2370,https://github.com/search?l=Java&o=desc&p=40&q=in%3Adescription+microservice&s=stars&type=Repositories,xetys/jhipster-ribbon-hystrix,A microservice demo project using JHipster 3.0 and applying Netflix Ribbon / Hystrix at service level,18
1649851896-2549,https://github.com/search?l=Java&o=desc&p=23&q=in%3Adescription+microservice&s=stars&type=Repositories,cescoffier/vertx-kubernetes-workshop,A workshop showing how to develop reactive microservices with Vert.x and deploy them with Kubernetes,40
1649851774-2120,https://github.com/search?l=Java&o=desc&p=65&q=in%3Adescription+microservice&s=stars&type=Repositories,jonathanborenstein/telly-boot-microservices,Telly-Boot Microservices,8
1649851936-2680,https://github.com/search?l=Java&o=desc&p=9&q=in%3Adescription+microservice&s=stars&type=Repositories,PacktPublishing/Spring-Microservices,"Code repository for Spring Microservices, published by Packt Publishing",213
1649851857-2408,https://github.com/search?l=Java&o=desc&p=37&q=in%3Adescription+microservice&s=stars&type=Repositories,paspao/McPaspaoTakeAway,An example of microservice architecture,19
1649851757-2067,https://github.com/search?l=Java&o=desc&p=71&q=in%3Adescription+microservice&s=stars&type=Repositories,sidd-harth/microservices,Microservice Architecture - Spring Boot + Docker + Netflix Libraries,6
1649851893-2530,https://github.com/search?l=Java&o=desc&p=24&q=in%3Adescription+microservice&s=stars&type=Repositories,andreagiassi/microservice-rbac-user-management,Ready to use User Management Role Based Access Control on Docker Microservice using Java Spring Boot and REST apis,40
1649851959-2767,https://github.com/search?l=Java&o=desc&p=1&q=in%3Adescription+microservice&s=stars&type=Repositories,AxonFramework/AxonFramework,Framework for Evolutionary Event-Driven Microservices on the JVM,2.7k
1649851857-2406,https://github.com/search?l=Java&o=desc&p=37&q=in%3Adescription+microservice&s=stars&type=Repositories,farrukhmpk/html-pdf-service,"LGPL V3. Java Spring Boot microservice with RESTful webconsole and service endpoints that convert HTML to PDF, option…",20
1649851768-2108,https://github.com/search?l=Java&o=desc&p=67&q=in%3Adescription+microservice&s=stars&type=Repositories,emmanuelneri/microservices-spring-cloud,Exemplo da utiliza??o do Spring Cloud com Microservices,7
1649851790-2175,https://github.com/search?l=Java&o=desc&p=60&q=in%3Adescription+microservice&s=stars&type=Repositories,thtesche/microservices-spring-cloud-docker,"Dockerized Microservices and API-Gateway Stack (Eureka, Zuul)::",9
1649851715-1928,https://github.com/search?l=Java&o=desc&p=85&q=in%3Adescription+microservice&s=stars&type=Repositories,sanddorn/InfrastructureAsMicroservice,Infrastructure As Microservice Talk,5
1649851693-1845,https://github.com/search?l=Java&o=desc&p=93&q=in%3Adescription+microservice&s=stars&type=Repositories,redhat-sap/sap-side-by-side-be,Backend microservice for the SAP side-by-side demo,4
1649851891-2528,https://github.com/search?l=Java&o=desc&p=25&q=in%3Adescription+microservice&s=stars&type=Repositories,viniciusccarvalho/spring-cloud-sockets,Reactive socket communication for microservices,35
1649851825-2291,https://github.com/search?l=Java&o=desc&p=48&q=in%3Adescription+microservice&s=stars&type=Repositories,rromannissen/rhoar-microservices-demo,GitOps for Microservices with Red Hat Runtimes demo,13
1649851885-2509,https://github.com/search?l=Java&o=desc&p=27&q=in%3Adescription+microservice&s=stars&type=Repositories,SelimHorri/tiny-movie-catalog-microservice-app,Spring Boot based Java microservice application to manage imdb movie catalog,32
1649851868-2440,https://github.com/search?l=Java&o=desc&p=33&q=in%3Adescription+microservice&s=stars&type=Repositories,vukmanovicmilos/web-app,Angular 7 + Spring boot microservices + PostgreSQL,24
1649851905-2572,https://github.com/search?l=Java&o=desc&p=20&q=in%3Adescription+microservice&s=stars&type=Repositories,gruelbox/transaction-outbox,Reliable eventual consistency for Microservices,50
1649851913-2603,https://github.com/search?l=Java&o=desc&p=17&q=in%3Adescription+microservice&s=stars&type=Repositories,devdojobr/devdojo-microservices,DevDojo Course about Spring Boot Microservices,67
1649851902-2567,https://github.com/search?l=Java&o=desc&p=21&q=in%3Adescription+microservice&s=stars&type=Repositories,MammatusTech/qbit-microservices-examples,Qbit Microservices Examples,46
1649851930-2669,https://github.com/search?l=Java&o=desc&p=11&q=in%3Adescription+microservice&s=stars&type=Repositories,NitorCreations/nflow,nFlow is a battle-proven solution for orchestrating business processes. It can be used as microservices orchestrator …,127
1649851905-2578,https://github.com/search?l=Java&o=desc&p=20&q=in%3Adescription+microservice&s=stars&type=Repositories,springframeworkguru/mssc-brewery,Spring MVC Brewery Microservice,49
1649851751-2043,https://github.com/search?l=Java&o=desc&p=73&q=in%3Adescription+microservice&s=stars&type=Repositories,jclingan/manning-kube-native-microservices,"""Kubernetes Native Microservices with Quarkus, MicroProfile, and Spring"" book contents",6
1649851928-2658,https://github.com/search?l=Java&o=desc&p=12&q=in%3Adescription+microservice&s=stars&type=Repositories,signalapp/PushServer,A microservice for communicating with push gateways.,112
1649851944-2711,https://github.com/search?l=Java&o=desc&p=6&q=in%3Adescription+microservice&s=stars&type=Repositories,swimos/swim,"Full stack application platform for building stateful microservices, streaming APIs, and real-time UIs",429
1649851727-1960,https://github.com/search?l=Java&o=desc&p=81&q=in%3Adescription+microservice&s=stars&type=Repositories,garystafford/storefront-demo-orders,"Spring Boot/Kafka/Mongo Microservice, part of a set of microservices for this project",5
1649851891-2522,https://github.com/search?l=Java&o=desc&p=25&q=in%3Adescription+microservice&s=stars&type=Repositories,Nasruddin/spring-boot-based-microservices,Basic skeleton for Spring Boot Microservices. It includes spring spring security for basic Auth. Spring Cloud Gateway…,37
1649851748-2035,https://github.com/search?l=Java&o=desc&p=74&q=in%3Adescription+microservice&s=stars&type=Repositories,georgwittberger/apache-spring-boot-microservice-example,Example project to demonstrate how to compose web pages with content from multiple microservices,6
1649851760-2072,https://github.com/search?l=Java&o=desc&p=70&q=in%3Adescription+microservice&s=stars&type=Repositories,vanminhnguyenbmt/spring-microservices,Building microservice using Spring Boot and Spring Cloud Netflix,7
1649851741-2017,https://github.com/search?l=Java&o=desc&p=76&q=in%3Adescription+microservice&s=stars&type=Repositories,kimmking/aquaman,"A simple,flexible,high-perfermance gateway for MicroServices using Vert.X and Asynchronous Httpclient.",6
1649851828-2301,https://github.com/search?l=Java&o=desc&p=47&q=in%3Adescription+microservice&s=stars&type=Repositories,springCat/dragonli,a microservice tool,14
1649851819-2278,https://github.com/search?l=Java&o=desc&p=50&q=in%3Adescription+microservice&s=stars&type=Repositories,cdelmas/microservices-perf,A sample project to compare Microservices libraries.,12
1649851798-2200,https://github.com/search?l=Java&o=desc&p=57&q=in%3Adescription+microservice&s=stars&type=Repositories,piomin/sample-vertx-kafka-messaging,implementation of partitioning mechanism on Apache Kafka and asynchronous communication between Vert.x microservices,10
1649851859-2419,https://github.com/search?l=Java&o=desc&p=36&q=in%3Adescription+microservice&s=stars&type=Repositories,FuseByExample/microservice-camel-in-action,"Camel MicroServices running locally, using Docker or as Kubernetes Service",20
1649851913-2609,https://github.com/search?l=Java&o=desc&p=17&q=in%3Adescription+microservice&s=stars&type=Repositories,meta-magic/microservice_workshop,Microservices Architecture Workshop focuses on helping the developers / architects to understand the key Architecture…,62
1649851893-2538,https://github.com/search?l=Java&o=desc&p=24&q=in%3Adescription+microservice&s=stars&type=Repositories,piomin/sample-graphql-microservices,An example of microservices communicating over GraphQL protocol using Spring Cloud Netflix Eureka and Apollo Client,37
1649851953-2748,https://github.com/search?l=Java&o=desc&p=3&q=in%3Adescription+microservice&s=stars&type=Repositories,SimCoderYoutube/UberClone,", but you'll be able to put what you learn into your very own projects! In this series, we use Android Native with ja…",695
1649851673-1777,https://github.com/search?l=Java&o=desc&p=100&q=in%3Adescription+microservice&s=stars&type=Repositories,pwizenty/Microservice-BasicInfrastructure,This repository contains the basic infrastructure for microservice systems.,4
1649851814-2254,https://github.com/search?l=Java&o=desc&p=52&q=in%3Adescription+microservice&s=stars&type=Repositories,uid4oe/microservices-java-grpc,"Java microservices with REST, and gRPC using BFF pattern. This repository contains backend services. Everything is do…",12
1649851950-2738,https://github.com/search?l=Java&o=desc&p=4&q=in%3Adescription+microservice&s=stars&type=Repositories,livelessons-spring/building-microservices,Building Microservices with Spring Boot,612
1649851854-2395,https://github.com/search?l=Java&o=desc&p=38&q=in%3Adescription+microservice&s=stars&type=Repositories,piomin/sample-spring-chaosmonkey,sample applications illustrating usage of codecentric's chaos monkey library for microservices created using spring b…,19
1649851899-2553,https://github.com/search?l=Java&o=desc&p=22&q=in%3Adescription+microservice&s=stars&type=Repositories,marcelohweb/netflix-microservices,Spring Boot Microservices Architecture.,45
1649851865-2437,https://github.com/search?l=Java&o=desc&p=34&q=in%3Adescription+microservice&s=stars&type=Repositories,SilverThings/SilverWare,"Minimalistic, easy to use microservices",22
1649851718-1935,https://github.com/search?l=Java&o=desc&p=84&q=in%3Adescription+microservice&s=stars&type=Repositories,burukeYou/burukeyou,"about Microservices, elasticsearch, spring security, netty",5
1649851721-1948,https://github.com/search?l=Java&o=desc&p=83&q=in%3Adescription+microservice&s=stars&type=Repositories,greenlearner01/Microservices-Testing,All about microservice testing strategy. Unit testing. Mockito library. Integration testing. Code coverage. Sonarqube…,5
1649851879-2480,https://github.com/search?l=Java&o=desc&p=29&q=in%3Adescription+microservice&s=stars&type=Repositories,automvc/bee-springboot,A good tools for developing microservice : Spring boot + Bee. 开发微服务的好组合!,30
1649851871-2455,https://github.com/search?l=Java&o=desc&p=32&q=in%3Adescription+microservice&s=stars&type=Repositories,javajon/kubernetes-observability,Tutorial on Kubernetes monitoring techniques with microservices.,25
1649851959-2765,https://github.com/search?l=Java&o=desc&p=1&q=in%3Adescription+microservice&s=stars&type=Repositories,google/rejoiner,Generates a unified GraphQL schema from gRPC microservices and other Protobuf sources,3.5k
1649851696-1855,https://github.com/search?l=Java&o=desc&p=92&q=in%3Adescription+microservice&s=stars&type=Repositories,bpbpublications/Cloud-Native-Microservices-with-Spring-and-Kubernetes,"Cloud Native Microservices with Spring and Kubernetes, published by BPB Publications",4
1649851950-2733,https://github.com/search?l=Java&o=desc&p=4&q=in%3Adescription+microservice&s=stars&type=Repositories,yacy/yacy_grid_parser,Parser Microservice for the YaCy Grid,637
1649851754-2052,https://github.com/search?l=Java&o=desc&p=72&q=in%3Adescription+microservice&s=stars&type=Repositories,PacktPublishing/Microservices-Development-on-Azure-with-Java,"Microservices Development on Azure with Java, published by Packt",6
1649851825-2295,https://github.com/search?l=Java&o=desc&p=48&q=in%3Adescription+microservice&s=stars&type=Repositories,ronenhamias/scalecube-microservices,"ScaleCube-Microservices is a higher level reusable Microservices repository built with ScaleCube-Services, it provide…",13
1649851774-2121,https://github.com/search?l=Java&o=desc&p=65&q=in%3Adescription+microservice&s=stars&type=Repositories,networknt/light-hybrid-4j,A hybrid between monolithic and microservices to take advantages of both,8
1649851724-1951,https://github.com/search?l=Java&o=desc&p=82&q=in%3Adescription+microservice&s=stars&type=Repositories,fighting-one-piece/microservice-integration,microservice common component integration,5
1649851693-1847,https://github.com/search?l=Java&o=desc&p=93&q=in%3Adescription+microservice&s=stars&type=Repositories,SimpleProgramming/microservice-logging,"A simple example explaining how to use ElasticSearch, Logstash and Kibana for Microservice logging",4
1649851736-1998,https://github.com/search?l=Java&o=desc&p=78&q=in%3Adescription+microservice&s=stars&type=Repositories,xetys/jhipster4-uaa-setup,A setup showing JHipster 4.0 microservice capabilities in UAA configuration and using angular2,6
